source,url,path,sha256,bytes,retrieved_utc,http_status
cbp_metadata,https://api.census.gov/data/2022/cbp.json,data/raw/audit/cbp_metadata/2022/dataset.json,1e273ac1fd5b5c7dd1f00db957e0148d78fb52577bf107a63b203a89137b3d55,2833,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/variables/EMPSZES.json,data/raw/audit/cbp_metadata/2022/empszes.json,52539d66a3ebd0a5e08a1fe003407bdc1430a599fa179777d434fd7349aeec23,413,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/geography.json,data/raw/audit/cbp_metadata/2022/geography.json,10c6271f572ca296b82078ae82c89e183769b873d5d2ea27cecc52528ba79ddf,1090,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/groups.json,data/raw/audit/cbp_metadata/2022/groups.json,feb908999cc6a5d418b024c07167bd8212d06fdd67774e0a0fd7c359aeb19a2b,349,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/groups/CB2200CBP.json,data/raw/audit/cbp_metadata/2022/groups_CB2200CBP.json,8390da6b1db3c85e32ac2bdecf437fa5f161cb0a7bcf4e137c233008b7e34451,9751,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/variables/LFO.json,data/raw/audit/cbp_metadata/2022/lfo.json,03e1460066af9730e10b203285a9e583c69cc7088cf61036da2f9fd739f952b8,398,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2022/cbp/variables.json,data/raw/audit/cbp_metadata/2022/variables.json,a36c4a1fdec7b2a7aa46306434492e6e3d5365910734ca63d3350303b3c0c5d4,496665,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp,data/raw/audit/cbp_metadata/2023/data_113310.json,a93686d7ee991a756c87fc94f76b827027254125cb0927f409e7438d692f96c2,20152,2026-09-04T14:06:01+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp,data/raw/audit/cbp_metadata/2023/data_113310_attempt1.json,a93686d7ee991a756c87fc94f76b827027254125cb0927f409e7438d692f96c2,20152,2026-09-04T14:06:01+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp.json,data/raw/audit/cbp_metadata/2023/dataset.json,47a4c65e6990bbf48f8994c7e8d26dce8d8a43d5b831931adf7f3d3489d19b87,2833,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/variables/EMPSZES.json,data/raw/audit/cbp_metadata/2023/empszes.json,73adbbd09cac2634fd3e10dc52b60932ab18aa60dc6bdc03a764fb41a2b285a8,413,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/geography.json,data/raw/audit/cbp_metadata/2023/geography.json,10c6271f572ca296b82078ae82c89e183769b873d5d2ea27cecc52528ba79ddf,1090,2026-09-04T14:06:00+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/groups.json,data/raw/audit/cbp_metadata/2023/groups.json,0507016adb7ba6957cbb9afd744f7670edf5c7fca49aff941614efab2860a2c3,349,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/groups/CB2300CBP.json,data/raw/audit/cbp_metadata/2023/groups_CB2300CBP.json,4682c59111e660b5c6a1207fb282806c72b426c4afbab38de2fc5c1abe1a71e9,11233,2026-09-04T14:05:59+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/variables/LFO.json,data/raw/audit/cbp_metadata/2023/lfo.json,7cfa0d7e09bc16223b0a09f28b0ac0a1e2e8b500f0104704ca43bf185bdba76d,398,2026-09-04T14:06:00+00:00,200
cbp_metadata,https://api.census.gov/data/2023/cbp/variables.json,data/raw/audit/cbp_metadata/2023/variables.json,3607074b2883892aec2d09c37a15b0daf84891cffd309b047680db364f4e9905,543719,2026-09-04T14:05:59+00:00,200
cbp_regime,https://www2.census.gov/programs-surveys/cbp/technical-documentation/records-layouts/2017_record_layouts/state_layout_2017.txt,data/raw/audit/cbp_regime/docs/2017_state_layout_2017.txt,6bac5bac65442b86d1a0fddb4d0c9d883a9155bbf8adcd568e282e364903b8af,9462,2026-09-04T16:25:22+00:00,200
cbp_regime,https://www.census.gov/programs-surveys/cbp/technical-documentation/methodology.html,data/raw/audit/cbp_regime/docs/methodology.html,438a2ccc99b76957fd93a89662be5e111aee252d02029efdfef4addc1cc5fe2d,371370,2026-09-04T16:25:20+00:00,200
cbp_regime,https://www2.census.gov/programs-surveys/cbp/technical-documentation/records-layouts/noise-layout/state_x_lfo_layout.txt,data/raw/audit/cbp_regime/docs/noise_state_x_lfo_layout.txt,802f84396e7ce05d82779ebf0588ac1e0fcf796ed1993c28e2c19e44f25c306c,9215,2026-09-04T16:25:22+00:00,200
cbp_regime,https://www.census.gov/programs-surveys/cbp/technical-documentation/record-layouts.html,data/raw/audit/cbp_regime/docs/record-layouts.html,1bd313c6b3d419446ed8eb5ba6f0c94c4084563fde768ea7d8eaaf898d5d3704,327902,2026-09-04T16:25:21+00:00,200
cbp_regime,https://www.census.gov/programs-surveys/cbp/technical-documentation.html,data/raw/audit/cbp_regime/docs/technical-documentation.html,41fcbc4e81506c0fd39c0fd8550380280a88796c923f49882732bbba88455d6d,309672,2026-09-04T16:25:20+00:00,200
cbp_regime,https://api.census.gov/data/2017/cbp/variables/EMP.json,data/raw/audit/cbp_regime/variables/2017_EMP.json,4fd391fa731e69f662d14050df786274a881be1c0ba1efac56b040686d63b90d,302,2026-09-04T16:25:22+00:00,200
cbp_regime,https://api.census.gov/data/2017/cbp/variables/EMP_F.json,data/raw/audit/cbp_regime/variables/2017_EMP_F.json,57f165b676fa5b3144fc97644979b86193c363ff26fd03eb42abb0f2965b33ad,344,2026-09-04T16:25:22+00:00,200
cbp_regime,https://api.census.gov/data/2017/cbp/variables/EMP_N.json,data/raw/audit/cbp_regime/variables/2017_EMP_N.json,a788ff479e55e3ce08dee771c73c3dfdb53b33628432d722c7b5667662901913,362,2026-09-04T16:25:22+00:00,200
